State,Date,Body Aches,Fatigue,Flu-like,Seasonal Cold,Trouble Breathing,Nausea or Diarrhea,Loss of Appetite,Fever,Changes in Smell or Taste,Abdominal Pain,Chills,Cough,Headache
Alabama,2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-03-06,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-03-07,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-03-09,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-03-11,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,2020-03-12,0,1,1,0,0,0,0,0,0,0,0,0,0
Alabama,2020-03-13,2,2,31,1,7,1,0,4,1,0,0,8,0
Alabama,2020-03-14,0,4,24,1,5,0,0,3,2,0,0,4,0
Alabama,2020-03-15,1,0,26,0,19,3,0,6,1,0,0,3,0
Alabama,2020-03-16,1,8,30,0,0,0,0,2,0,0,0,1,0
Alabama,2020-03-17,2,9,39,0,6,0,0,4,1,0,0,6,0
Alabama,2020-03-18,3,4,42,2,4,1,0,14,0,0,0,7,1
Alabama,2020-03-19,2,2,36,1,8,1,0,7,1,0,0,2,1
Alabama,2020-03-20,5,3,30,0,29,1,0,5,1,0,0,2,0
Alabama,2020-03-21,1,0,21,0,17,1,0,3,2,0,0,36,0
Alabama,2020-03-22,2,4,26,0,7,1,0,10,2,0,1,32,0
Alabama,2020-03-23,5,3,14,1,8,7,0,8,40,0,0,9,1
Alabama,2020-03-24,0,1,13,0,1,2,0,1,8,0,0,3,0
Alabama,2020-03-25,4,0,24,0,1,1,0,1,3,0,0,5,1
Alabama,2020-03-26,1,1,31,0,9,1,0,3,1,0,0,3,0
Alabama,2020-03-27,3,3,36,0,6,1,0,6,3,0,0,1,0
Alabama,2020-03-28,3,2,34,2,3,0,0,6,2,0,0,7,0
Alabama,2020-03-29,2,2,11,0,65,1,0,2,0,0,0,2,1
Alabama,2020-03-30,2,1,19,0,15,0,0,4,1,0,0,2,0
Alabama,2020-03-31,0,2,13,1,59,1,0,11,2,0,0,2,1
Alabama,2020-04-01,2,5,20,1,6,0,0,11,1,0,0,4,0
Alabama,2020-04-02,0,2,17,0,5,0,0,3,5,0,3,0,0
Alabama,2020-04-03,1,2,16,0,1,0,0,3,6,0,0,0,0
Alabama,2020-04-04,2,0,13,0,6,0,0,0,2,0,0,5,0
Alabama,2020-04-05,0,0,26,0,6,0,0,2,7,0,0,5,0
Alabama,2020-04-06,0,2,36,0,18,1,0,2,6,0,1,1,0
Alabama,2020-04-07,2,2,20,0,13,0,0,4,3,0,0,3,0
