State,Date,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
Alabama,2020-01-01,"impact, states, panic, give, health","due to, italy, trip, washington, area",", catching, afraid of, talking about, y'all","hope, contract, dying, cough, would be","bc, news, coming, what's, suddenly","pandemic, business, start, dance, cures","mask, masks, wearing, prevent, worried about","there's, person, test, isn't, ship","news, live, nyc, confirmed, cancel","right now, coughing, to deal with, bs, worry about"
Alabama,2020-01-02,"impact, states, panic, give, health","makes, thing, making, cough, worse","mask, masks, wearing, prevent, worried about","trump, pence, response, crisis, trump","cases, county, case, usa, updates","flu, hysteria, rate, worried about the, symptoms","buying, water, because of, paper, panic buying","hope, doesn't, spreading, stop, i really hope","wash, clean, your hands, some people, hearing","flu, a little, thing, more than, influenza"
Alabama,2020-01-03,"news, heard, due to the, has been, plan","impact, states, panic, give, health","mask, masks, wearing, prevent, worried about","world, wash your hands, end, release, the end of","stop, jokes, asians, cure, racism","it's, give, thinking, gonna get, giving","case of, case, confirmed, in my county, first case of","test, risk, free, stand, police","due to, italy, trip, washington, area",
Alabama,2020-01-04,"going to, because of the, imagine, should be, hit","impact, states, panic, give, health","virus, to avoid, killing, fight, viruses","due to the, at work, empty, bc of the, travel","news, heard, due to the, has been, plan","inform yourself about, be smart, avoid, fear of, coughs","event, because of the, cancel, this year, events","news, live, nyc, confirmed, cancel","school, close, bc of, gonna, schools","bc, news, coming, what's, suddenly"
Alabama,2020-01-05,"impact, states, panic, give, health","world, wash your hands, end, release, the end of","years, have been, de, killed, i feel like","test, risk, free, stand, police","event, because of the, cancel, this year, events","country, in india, beat, biggest, india","the spread of, to prevent, should be, mfs, wash their hands",", catching, afraid of, talking about, y'all","kills, players, lysol, simply, tv","city, state, live, welp, florida"
Alabama,2020-01-06,"world, wash your hands, end, release, the end of","stop, spreading, going to, we need to, the only thing","impact, states, panic, give, health","cancelled, due to, school, students, classes","pandemic, business, start, dance, cures","news, heard, due to the, has been, plan","house, will be, ago, asked, mf","safe, will be, because of, market, industry","flu, hysteria, rate, worried about the, symptoms","sick, days, coming, give me, months"
Alabama,2020-01-07,"immune to the, immune to, you are immune, ate, if you ever","hope, doesn't, spreading, stop, i really hope","news, live, nyc, confirmed, cancel","positive, case, confirmed, yesterday, cases","news, heard, due to the, has been, plan","flights, flight, because of, countries, air","foxnews alert, breaking, death, state of emergency, australia","travel, scare, stupid, stuff, mad","catch, hope, thing, cuz, karma","panic, basically, response to, let's, city"
Alabama,2020-01-08,"impact, states, panic, give, health","school, close, bc of, gonna, schools","wash, clean, your hands, some people, hearing","makes, thing, making, cough, worse","gonna, word, bring, tweets, town","mask, masks, wearing, prevent, worried about","buying, water, because of, paper, panic buying","panic, basically, response to, let's, city","safe, will be, because of, market, industry","china, made, week, government, wuhan"
Alabama,2020-01-09,"trending, pray, trumpvirus, coronvirus, cornoravirus","face, touch, train, bc, your face","news, live, nyc, confirmed, cancel","gonna, word, bring, tweets, town","stop, jokes, asians, cure, racism","flu, hysteria, rate, worried about the, symptoms","flu, a little, thing, more than, influenza","hope, contract, dying, cough, would be","bc, news, coming, what's, suddenly","will be, do you think, apparently, victims, die"
Alabama,2020-01-10,"person, lives, looks like, biden, boomers","immune to the, immune to, you are immune, ate, if you ever","bc, news, coming, what's, suddenly","impact, states, panic, give, health","ppl, president, cuz, would be, eating","cases, there are, cases of, uk, in the uk","news, live, nyc, confirmed, cancel","going to, because of the, imagine, should be, hit","wash, clean, your hands, some people, hearing","vaccine, there is no, report, free, funding"
Alabama,2020-01-11,"case of, case, confirmed, in my county, first case of","virus, to avoid, killing, fight, viruses","impact, states, panic, give, health","cases, county, case, usa, updates","started, brexit, blame, problem, eu","person, lives, looks like, biden, boomers","kills, players, lysol, simply, tv","flu, a little, thing, more than, influenza","world, wash your hands, end, release, the end of","mask, masks, wearing, prevent, worried about"
Alabama,2020-01-12,"impact, states, panic, give, health","hope, contract, dying, cough, would be","hope, doesn't, spreading, stop, i really hope","infection, be safe from, happening, to be racist, care about","thing, stupid, drink, numbers, trump",", catching, afraid of, talking about, y'all","there's, person, test, isn't, ship","event, because of the, cancel, this year, events","patients, hospital, doctors, nhs, live","virus, how do you, pakistan, awareness, might have"
Alabama,2020-01-13,"control, 2020, at this point, challenge, country","news, live, nyc, confirmed, cancel","foxnews alert, breaking, death, state of emergency, australia","country, in india, beat, biggest, india","makes, thing, making, cough, worse","impact, states, panic, give, health","hope, doesn't, spreading, stop, i really hope","sick, days, coming, give me, months","event, because of the, cancel, this year, events","because of, cancel, hygiene, economy, surely"
Alabama,2020-01-14,"impact, states, panic, give, health","cases, there are, cases of, uk, in the uk","the spread of, to prevent, should be, mfs, wash their hands","virus, to avoid, killing, fight, viruses","foxnews alert, breaking, death, state of emergency, australia","due to the, at work, empty, bc of the, travel","house, will be, ago, asked, mf","country, in india, beat, biggest, india","stop, jokes, asians, cure, racism","virus, how do you, pakistan, awareness, might have"
Alabama,2020-01-15,"right now, coughing, to deal with, bs, worry about","wash, clean, your hands, some people, hearing","symptoms, go to work, symptoms of, catching, experts","read, news, article, thread, cover","bc, news, coming, what's, suddenly","there's, person, test, isn't, ship","event, because of the, cancel, this year, events","tests, testing, free, tested, tested for","cases, county, case, usa, updates","cases, update, infected, confirmed, increase"
Alabama,2020-01-16,"impact, states, panic, give, health","country, in india, beat, biggest, india","thing, stupid, drink, numbers, trump","world, wash your hands, end, release, the end of","catch, hope, thing, cuz, karma","city, state, live, welp, florida","years, have been, de, killed, i feel like","going to, because of the, imagine, should be, hit","advice, email, clear, positive for, latest","started, brexit, blame, problem, eu"
Alabama,2020-01-17,"ppl, president, cuz, would be, eating","it's, give, thinking, gonna get, giving","mask, masks, wearing, prevent, worried about","tests, testing, free, tested, tested for","due to the, at work, empty, bc of the, travel","china, made, week, government, wuhan","world, wash your hands, end, release, the end of","news, live, nyc, confirmed, cancel","virus, how do you, pakistan, awareness, might have","face, touch, train, bc, your face"
